ID,Player,Team,Position,Salary
*02z0s*,Aaron Judge,NYY,OF,81
*03ynj*,Juan Soto,NYM,OF,77
*04lgp*,Bobby Witt Jr.,KC,SS,32
*04355*,Yordan Alvarez,HOU,OF,43
*04ptt*,Tarik Skubal,DET,P,20
*050w9*,Gunnar Henderson,BAL,SS,18
*03ojr*,Vladimir Guerrero Jr.,TOR,1B,61
*02yc4*,Shohei Ohtani,LAD,UT,86
*03pir*,Kyle Tucker,CHC,OF,60
*01ub6*,Jose Ramirez,CLE,3B,54
*05wru*,Paul Skenes,PIT,P,34
*01sb3*,Zack Wheeler,PHI,P,31
*02btf*,Mookie Betts,LAD,"SS,OF",75
*01fh9*,Bryce Harper,PHI,1B,48
*03dbm*,Logan Webb,SF,P,16
*01cgo*,Freddie Freeman,LAD,1B,56
*02mwm*,Matt Olson,ATL,1B,56
*05ajh*,Garrett Crochet,BOS,P,18
*030uc*,Rafael Devers,BOS,3B,38
*03cag*,Kyle Schwarber,PHI,UT,31
*02611*,Francisco Lindor,NYM,SS,26
*04n0m*,Logan Gilbert,SEA,P,23
*01usi*,Marcell Ozuna,ATL,UT,8
*04e2u*,Brent Rooker,ATH,UT,4
*03pom*,Austin Riley,ATL,3B,25
*043f9*,Pablo Lopez,MIN,P,34
*04y4e*,Corbin Carroll,ARI,OF,37
*04pst*,Jarren Duran,BOS,OF,11
*05udp*,Elly De La Cruz,CIN,SS,16
*0326s*,Ketel Marte,ARI,2B,27
*04auj*,Framber Valdez,HOU,P,39
*03df2*,Dylan Cease,SD,P,33
*03zbh*,Fernando Tatis Jr.,SD,OF,39
*04yie*,George Kirby,SEA,P,28
*041ma*,Cole Ragans,KC,P,36
*02mw6*,Corey Seager,TEX,SS,44
*02mw3*,Christian Walker,HOU,1B,10
*024m0*,Jose Altuve,HOU,2B,26
*04de1*,Triston Casas,BOS,1B,23
*041pz*,Pete Alonso,NYM,1B,41
*02i3o*,Aaron Nola,PHI,P,31
*041rd*,Corbin Burnes,ARI,P,34
*01uca*,Chris Sale,ATL,P,23
*03yrz*,William Contreras,MIL,C,19
*03d7h*,Mitch Keller,PIT,P,12
*01svq*,Manny Machado,SD,3B,41
*0260v*,Sonny Gray,STL,P,22
*03e5m*,Bryan Reynolds,PIT,OF,36
*02c68*,Trea Turner,PHI,SS,49
*05ge9*,Shota Imanaga,CHC,P,23
*04fhb*,Julio Rodriguez,SEA,OF,37
*03deg*,Justin Steele,CHC,P,15
*05h2u*,Jared Jones,PIT,P,8
*02w16*,Anthony Santander,TOR,OF,11
*05m1e*,Jackson Chourio,MIL,OF,17
*03nmw*,Ian Happ,CHC,OF,12
*03nuc*,Luis Castillo,SEA,P,33
*05r8n*,Yoshinobu Yamamoto,LAD,P,19
*03sef*,Seth Lugo,KC,P,7
*02xic*,Teoscar Hernandez,LAD,OF,15
*05vy6*,Bryce Miller,SEA,P,7
*041qo*,Zac Gallen,ARI,P,34
*02i2j*,Max Fried,NYY,P,47
*05144*,Hunter Brown,HOU,P,17
*04ps7*,Joe Ryan,MIN,P,21
*05lg3*,Brandon Pfaadt,ARI,P,12
*01spo*,Gerrit Cole,NYY,P,45
*052c8*,Cristopher Sanchez,PHI,P,7
*041wv*,Michael King,SD,P,30
*05y23*,Tanner Bibee,CLE,P,7
*02hi7*,Kevin Gausman,TOR,P,27
*03wha*,Ronald Acuna Jr.,ATL,OF,51
*02bu9*,Marcus Semien,TEX,2B,18
*0425t*,Bailey Ober,MIN,P,7
*02bqr*,Blake Snell,LAD,P,34
*05ua7*,Jackson Merrill,SD,OF,6
*03d6n*,Erick Fedde,STL,P,3
*02w7p*,Alex Bregman,BOS,3B,35
*05rat*,James Wood,WSH,OF,5
*04pse*,Brendan Donovan,STL,"2B,OF",7
*03d6w*,Jack Flaherty,DET,P,5
*04aea*,Hunter Greene,CIN,P,16
*04q2n*,Adley Rutschman,BAL,C,33
*0512e*,Spencer Steer,CIN,"1B,OF",4
*04nb2*,Riley Greene,DET,OF,12
*03m6o*,Yandy Diaz,TB,1B,12
*041xv*,Nathaniel Lowe,WSH,1B,3
*04a2t*,Kodai Senga,NYM,P,31
*03pov*,Brady Singer,CIN,P,3
*03pje*,Taylor Ward,LAA,OF,5
*03djk*,Tanner Houck,BOS,P,4
*04b02*,Seiya Suzuki,CHC,OF,16
*025dn*,Christian Yelich,MIL,OF,21
*04pks*,Matt McLain,CIN,"2B,SS",8
*02bq2*,Brandon Nimmo,NYM,OF,14
*04071*,Isaac Paredes,HOU,3B,9
*05tq1*,Spencer Schwellenbach,ATL,P,4
*02mwq*,Zach Eflin,BAL,P,13
*03atq*,Willy Adames,SF,SS,13
*03mew*,Luis Arraez,SD,"1B,2B",21
*04pko*,Grayson Rodriguez,BAL,P,14
*02btx*,Tyler Glasnow,LAD,P,27
*04ml0*,Yusei Kikuchi,LAA,P,12
*04pr1*,Steven Kwan,CLE,OF,6
*04mra*,Ezequiel Tovar,COL,SS,8
*01spl*,Jurickson Profar,ATL,OF,4
*04aq4*,Adolis Garcia,TEX,OF,8
*03fi0*,Ozzie Albies,ATL,2B,24
*01ual*,Paul Goldschmidt,NYY,1B,8
*04pr8*,Taj Bradley,TB,P,7
*03d6s*,Matt Chapman,SF,3B,7
*01uc9*,Nick Castellanos,PHI,OF,5
*051ia*,Spencer Horwitz,PIT,"1B,2B",4
*060pm*,Wyatt Langford,TEX,OF,20
*040b5*,Randy Arozarena,SEA,OF,15
*05184*,Vinnie Pasquantino,KC,1B,16
*04cd5*,MacKenzie Gore,WSH,P,8
*0513l*,Brenton Doyle,COL,OF,4
*03ab0*,Luis Severino,ATH,P,10
*04t9b*,Michael Busch,CHC,1B,3
*02jh6*,Eugenio Suarez,ARI,3B,5
*04ydi*,Ronel Blanco,HOU,P,4
*03dc4*,Freddy Peralta,MIL,P,13
*04azv*,Jake Burger,TEX,"1B,3B",14
*02c2h*,Chris Bassitt,TOR,P,6
*0512v*,Michael Harris II,ATL,OF,10
*0524l*,Yainer Diaz,HOU,C,7
*03pjd*,Josh Naylor,ARI,1B,7
*04my4*,Cal Raleigh,SEA,C,4
*05tce*,Connor Norby,MIA,3B,1
*04s1h*,Luis Gil,NYY,P,4
*02mwk*,Jose Berrios,TOR,P,28
*04nx3*,Jonathan India,KC,2B,7
*02h9r*,Miles Mikolas,STL,P,1
*031t0*,Gleyber Torres,DET,2B,4
*03et8*,Ranger Suarez,PHI,P,7
*02i2q*,Carlos Correa,MIN,SS,21
*04pbp*,Christopher Morel,TB,"2B,3B",4
*02iug*,Michael Wacha,KC,P,2
*02x0f*,Sean Manaea,NYM,P,4
*02mzg*,Max Muncy,LAD,3B,9
*01s8u*,Mike Trout,LAA,OF,50
*01sy3*,Nolan Arenado,STL,3B,9
*03ae8*,Dansby Swanson,CHC,SS,1
*04prt*,Lawrence Butler,ATH,OF,19
*03zlh*,Oneil Cruz,PIT,"SS,OF",23
*04mn5*,Alec Bohm,PHI,3B,9
*05ras*,Colton Cowser,BAL,OF,4
*04y95*,JJ Bleday,ATH,OF,1
*02i11*,Jorge Soler,LAA,"OF,UT",7
*03bin*,Nestor Cortes Jr.,MIL,P,5
*05y62*,Bryan Woo,SEA,P,23
*04cwf*,Shane Baz,TB,P,7
*0310n*,Ryan McMahon,COL,3B,2
*041sz*,Tobias Myers,MIL,P,4
*02c2r*,Carlos Rodon,NYY,P,17
*04qk8*,CJ Abrams,WSH,SS,11
*025gb*,Xander Bogaerts,SD,"2B,SS",6
*0512m*,Ryan Pepiot,TB,P,17
*051em*,Kerry Carpenter,DET,OF,4
*045qo*,Jazz Chisholm Jr.,NYY,"3B,OF",9
*060x1*,Wilyer Abreu,BOS,OF,4
*04y9p*,Anthony Volpe,NYY,SS,2
*041qr*,Aaron Civale,MIL,P,5
*01ut7*,Nathan Eovaldi,TEX,P,16
*026qc*,Joc Pederson,TEX,UT,10
*03qmh*,Jake Cronenworth,SD,"1B,2B",1
*05gdz*,Roki Sasaki,LAD,P,26
*04t40*,Brayan Bello,BOS,P,8
*04pmn*,Parker Meadows,DET,OF,1
*03120*,Cody Bellinger,NYY,"1B,OF",14
*042sz*,Will Smith,LAD,C,19
*0421k*,Bowden Francis,TOR,P,7
*04ee7*,Clarke Schmidt,NYY,P,6
*03zcy*,Mark Vientos,NYM,3B,4
*04px8*,Reese Olson,DET,P,7
*02hjp*,Jacob deGrom,TEX,P,13
*03oh0*,Willson Contreras,STL,C,16
*03nri*,Lourdes Gurriel Jr.,ARI,OF,1
*03btu*,Willi Castro,MIN,"2B,3B,SS,OF,P",1
*05xch*,Junior Caminero,TB,3B,10
*04pkr*,Nico Hoerner,CHC,2B,1
*05jqy*,Mitchell Parker,WSH,P,1
*0316j*,Nick Pivetta,SD,P,9
*025he*,George Springer,TOR,OF,3
*04ppz*,Jake Irvin,WSH,P,1
*041qb*,Bo Bichette,TOR,SS,17
*04ee8*,Heliot Ramos,SF,OF,4
*05yj1*,Nolan Schanuel,LAA,1B,1
*05gsc*,Jordan Westburg,BAL,"2B,3B",7
*041ps*,Nick Lodolo,CIN,P,13
*0596e*,Dylan Crews,WSH,OF,5
*005jn*,Charlie Morton,BAL,P,1
*05gwy*,Masyn Winn,STL,SS,1
*05y0j*,Spencer Arrighetti,HOU,P,4
*01u75*,Salvador Perez,KC,"C,1B",6
*05m49*,Jung Hoo Lee,SF,OF,4
*02hj7*,Merrill Kelly,ARI,P,5
*04o78*,Matt Wallner,MIN,"OF,P",7
*03i81*,Reynaldo Lopez,ATL,P,4
*05rfu*,Kyle Manzardo,CLE,UT,1
*04azu*,Kumar Rocker,TEX,P,10
*04n8z*,Xavier Edwards,MIA,SS,1
*04ok3*,Michael Toglia,COL,1B,1
*03pzn*,Andres Gimenez,TOR,2B,1
*05jp7*,Gavin Williams,CLE,P,16
*04ai4*,Nolan Gorman,STL,2B,1
*05js3*,Kyle Harrison,SF,P,5
*041ah*,Josh Lowe,TB,OF,2
*04q56*,Logan O'Hoppe,LAA,C,2
*04p10*,Bryson Stott,PHI,2B,1
*02bu3*,Brandon Woodruff,MIL,P,15
*0597k*,Nick Gonzales,PIT,2B,4
*03de9*,Rhys Hoskins,MIL,1B,4
*04o4s*,Shea Langeliers,ATH,C,1
*0596g*,Reid Detmers,LAA,P,1
*01srb*,Jameson Taillon,CHC,P,4
*03pjl*,Ryan Mountcastle,BAL,1B,4
*05jrh*,Colt Keith,DET,2B,2
*047l7*,Luis Robert Jr.,CHW,OF,18
*05ybv*,Jackson Holliday,BAL,2B,7
*04b01*,Tomoyuki Sugano,BAL,P,1
*0516h*,DJ Herz,WSH,P,1
*04pt2*,Lars Nootbaar,STL,OF,12
*03nru*,Jesus Sanchez,MIA,OF,1
*02yk4*,Tyler O'Neill,BAL,OF,9
*03dei*,Lane Thomas,CLE,OF,7
*03qo2*,LaMonte Wade Jr.,SF,1B,1
*04b00*,Brice Turang,MIL,2B,3
*04mlt*,Shane McClanahan,TB,P,15
*02n4s*,Matthew Boyd,CHC,P,1
*05yav*,David Festa,MIN,P,1
*03pix*,Tyler Stephenson,CIN,C,1
*05ub0*,Zack Gelof,ATH,2B,1
*05mre*,Spencer Strider,ATL,P,29
*063vu*,Matt Shaw,CHC,"2B,3B,SS",2
*050c3*,Jasson Dominguez,NYY,OF,5
*03aac*,Walker Buehler,BOS,P,7
*0414g*,Luis Garcia,WSH,2B,4
*04eld*,J.P. Sears,ATH,P,1
*0622t*,Jacob Wilson,ATH,SS,2
*02i2k*,Byron Buxton,MIN,OF,10
*05mdt*,Evan Carter,TEX,OF,5
*041q6*,Nolan Jones,COL,OF,6
*03dgq*,Ryan O'Hearn,BAL,"1B,OF",1
*041ts*,Luke Raley,SEA,"1B,OF",1
*03aay*,Thairo Estrada,COL,2B,1
*0514o*,Cody Bradford,TEX,P,1
*03btv*,Sandy Alcantara,MIA,P,16
*04mlr*,Jeffrey Springs,ATH,P,5
*025i9*,J.T. Realmuto,PHI,C,1
*04aeb*,Royce Lewis,MIN,3B,15
*05gtn*,Tyler Soderstrom,ATH,1B,4
*01cdf*,Giancarlo Stanton,NYY,UT,1
*029si*,Eduardo Rodriguez,ARI,P,1
*041ai*,Gavin Lux,CIN,2B,2
*051wv*,Pete Crow-Armstrong,CHC,OF,1
*05rc3*,Masataka Yoshida,BOS,UT,1
*025j1*,Robbie Ray,SF,P,4
*000dp*,Justin Verlander,SF,P,3
*02bqh*,Trevor Story,BOS,SS,1
*03aoy*,Sean Murphy,ATL,C,4
*03pji*,Ke'Bryan Hayes,PIT,3B,1
*0513c*,Joey Ortiz,MIL,3B,1
*05ahg*,Austin Wells,NYY,C,1
*05xod*,Sean Burke,CHW,P,2
*03qjy*,Brandon Lowe,TB,2B,9
*03c65*,Victor Robles,SEA,OF,1
*02i37*,Lucas Giolito,BOS,P,1
*02z0t*,Michael Conforto,LAD,OF,5
*04qnc*,Francisco Alvarez,NYM,C,5
*05xor*,Christian Encarnacion-Strand,CIN,1B,4
*041yb*,Dean Kremer,BAL,P,1
*05gbf*,Jordan Walker,STL,OF,2
*04hyc*,Ivan Herrera,STL,C,3
*01c5l*,Yu Darvish,SD,P,11
*04c0o*,Jose Soriano,LAA,P,1
*04y44*,Josh Jung,TEX,3B,3
*041r1*,Jesus Luzardo,PHI,P,12
*03d6p*,Grant Holmes,ATL,P,5
*04t3y*,Alejandro Kirk,TOR,C,1
*05js5*,Coby Mayo,BAL,3B,3
*04ep8*,Kutter Crawford,BOS,P,1
*06l54*,Shinnosuke Ogasawara,WSH,P,1
*04g1x*,David Peterson,NYM,P,1
*04s1g*,Gabriel Moreno,ARI,C,2
*05rb0*,Jackson Jobe,DET,P,2
*0596f*,Heston Kjerstad,BAL,UT,2
*05r1m*,Jordan Lawlar,ARI,SS,2
*045gu*,TJ Friedl,CIN,OF,2
*04yid*,Ryne Nelson,ARI,P,1
*05xsq*,Luis Ortiz,CLE,P,6
*04mnw*,Ryan Weathers,MIA,P,1
*06in4*,Hyeseong Kim,LAD,2B,1
*04eee*,Drew Rasmussen,TB,P,5
*04ali*,Edward Cabrera,MIA,P,1
*06650*,Hayden Birdsong,SF,P,1
*051e5*,Matt Waldron,SD,P,1
*030ud*,Eloy Jimenez,TB,UT,1
*004ee*,Max Scherzer,TOR,P,3
*03vcw*,Jordan Hicks,SF,P,1
*01vja*,Max Kepler,PHI,OF,1
*01ubo*,Kris Bryant,COL,UT,3
*02bx4*,Clay Holmes,NYM,RP,9
*04mn4*,Joey Bart,PIT,C,1
*04qnd*,Noelvi Marte,CIN,3B,1
*04pmb*,Kris Bubic,KC,RP,1
*05rik*,Bubba Chandler,PIT,P,2
*0311b*,Trevor Williams,WSH,P,1
*04ew7*,Aaron Ashby,MIL,P,1
*061bo*,Rhett Lowder,CIN,P,1
*05rch*,Colson Montgomery,CHW,SS,1
*041rf*,Shane Bieber,CLE,P,6
*05u9z*,Roman Anthony,BOS,OF,2
*041r5*,Dustin May,LAD,P,1
*0529l*,Endy Rodriguez,PIT,C,2
*05xtz*,Dalton Rushing,LAD,"C,OF",2
*06ala*,Osvaldo Bido,ATH,P,1
*05un2*,Edgar Quero,CHW,C,1
*05r3i*,Andrew Painter,PHI,P,2
*05gef*,Cade Cavalli,WSH,P,2
*0514f*,Hayden Wesneski,HOU,P,1
*04z6k*,Luisangel Acuna,NYM,SS,2
*05r9j*,Marcelo Mayer,BOS,SS,3
*06f0q*,Kristian Campbell,BOS,"2B,SS,OF",7
*063e5*,Caden Dana,LAA,P,1
*05js7*,Nick Yorke,PIT,2B,2
*04ysv*,Adael Amador,COL,2B,1
*05aoc*,Eury Perez,MIA,P,8
*05rbv*,Samuel Basallo,BAL,"C,1B",2
*05rbs*,Moises Ballesteros,CHC,C,2
*05uc7*,Noah Schultz,CHW,P,2
*05t9n*,Carson Williams,TB,SS,2
*062k5*,Nick Kurtz,ATH,1B,2
*04pq4*,Kyle Bradish,BAL,P,3
*05zde*,Travis Bazzana,CLE,2B,1
*05rb3*,Chase Burns,CIN,P,1
*05u9y*,Max Clark,DET,OF,2
*061zv*,Josue De Paula,LAD,OF,2
*0422c*,Kyle Hart,SD,RP,1
*05u3v*,Walker Jenkins,MIN,OF,4
*05rc5*,Termarr Johnson,PIT,"2B,SS",1
*06ibv*,Jesus Made,MIL,SS,1
*02bqy*,Joe Musgrove,SD,P,1
*054p6*,Emmanuel Rodriguez,MIN,OF,2
*05mrx*,Gavin Stone,LAD,P,1
*0662o*,Sebastian Walcott,TEX,"3B,SS",6
*06aw3*,JJ Wetherholt,STL,SS,1
